id,actor_name,character,film_name,year
541,Jet Li,Danny,Unleashed,2005
1049,Ben Stiller,Larry Daley,Night at the Museum,2006
1053,Owen Wilson,Jedediah,Night at the Museum,2006
1064,Paul Rudd,Don,Night at the Museum,2006
1469,Will Ferrell,Harold Crick,Stranger than Fiction,2006
1785,Will Ferrell,Armando Alvarez,Casa de Mi Padre,2012
1797,Matthew McConaughey,Danny Buck,Bernie,2011
2470,Jackie Chan,Monkey,Kung Fu Panda Holiday,2010
2478,Seth Rogen,Mantis,Kung Fu Panda Holiday,2010
2588,Christoph Waltz,August Rosenbluth,Water for Elephants,2011
3934,Chris O'Dowd,Bruce,Frankie Go Boom,2012
4997,Steve Carell,Dodge,Seeking a Friend for the End of the World,2012
6138,Paul Rudd,Mr. Anderson,The Perks of Being a Wallflower,2012
6338,Will Ferrell,Hobie,Melinda and Melinda,2005
6344,Steve Carell,Walt Wagner,Melinda and Melinda,2005
7274,Ben Stiller,,King of the Elves,2012
8281,Seth Rogen,,Paper Heart,2009
8542,Seth Rogen,Dale Denton,Pineapple Express,2008
8620,Jason Segel,Peter Bretter,Forgetting Sarah Marshall,2008
8623,Jonah Hill,Matthew the Waiter,Forgetting Sarah Marshall,2008
8625,Paul Rudd,Chuck,Forgetting Sarah Marshall,2008
9793,Seth Rogen,Seth Rogen,This Is the End,2013
9794,Jonah Hill,Jonah Hill,This Is the End,2013
9797,Paul Rudd,Paul Rudd,This Is the End,2013
9801,Jason Segel,Jason Segel,This Is the End,2013
10018,Leslie Mann,Mom Thompson,Shorts,2009
12385,Matthew McConaughey,Killer Joe Cooper,Killer Joe,2011
12400,Jason Segel,Jeff,"Jeff, Who Lives at Home",2011
12501,Jonah Hill,Snotlout,Legend of the Boneknapper Dragon,2010
13620,Leslie Mann,Sandra Babcock,ParaNorman,2012
13707,Paul Rudd,Abel,Year One,2009
14393,Vince Vaughn,Dave,Couples Retreat,2009
14456,Paul Rudd,Danny,Role Models,2008
16046,Brad Pitt,Chad Feldheimer,Burn After Reading,2008
17011,Seth Rogen,Theodore,Management,2008
17067,Megan Fox,Jennifer Check,Jennifer's Body,2009
17253,Paul Rudd,Jack Chase,The Oh in Ohio,2006
17566,Jet Li,The Monkey King,The Forbidden Kingdom,2008
17568,Jackie Chan,Lu Yan,The Forbidden Kingdom,2008
17573,Jet Li,The Silent Monk,The Forbidden Kingdom,2008
17574,Jackie Chan,Old Hop,The Forbidden Kingdom,2008
17793,Vince Vaughn,Raji,Be Cool,2005
17985,Jonah Hill,,Good Time Gang,2012
18548,Paul Rudd,,Anchorman 2: The Legend Continues,2013
18549,David Koechner,Champ Kind,Anchorman 2: The Legend Continues,2013
18550,Steve Carell,,Anchorman 2: The Legend Continues,2013
18551,Will Ferrell,Ron Burgundy,Anchorman 2: The Legend Continues,2013
18554,Vince Vaughn,Wes Mantooth,Anchorman 2: The Legend Continues,2013
18653,Ben Stiller,Tugg Speedman,Tropic Thunder,2008
18798,Matthew McConaughey,Dirk Pitt,Sahara,2005
19030,David Koechner,,Tenacious D in The Pick of Destiny,2006
19031,Ben Stiller,Guitar Store Dude,Tenacious D in The Pick of Destiny,2006
19036,Vince Vaughn,Gary Grobowski,The Break-Up,2006
19588,Seth Rogen,Seth,Jay and Seth versus the Apocalypse,2007
19593,Jonah Hill,,Jay and Seth versus the Apocalypse,2007
19654,Jonah Hill,Barry,Grandma's Boy,2006
19814,Owen Wilson,,Freezing People Is Easy,2013
19815,Paul Rudd,Nelson,Freezing People Is Easy,2013
19988,Owen Wilson,Gil,Midnight in Paris,2011
20082,Leslie Mann,Scarlet O'Donnell,17 Again,2009
20627,David Koechner,Sanders,Hit and Run,2012
21498,Megan Fox,Lilah,Jonah Hex,2010
21632,Will Ferrell,Megamind,Megamind: The Button of Doom,2011
22510,Jonah Hill,Sherman Schrader,Accepted,2006
23298,Brad Pitt,Mr. O'Brien,The Tree of Life,2011
23433,Leslie Mann,Margaret Hobart,Little Birds,2011
25072,Ben Stiller,Alex,Madagascar,2005
25421,Will Ferrell,,Dear Woman,2011
25435,Will Ferrell,David Bowie,Peace on Earth/Little Drummer Boy,2010
25437,Will Ferrell,Detective Allen Gamble,The Other Guys NYPD Recruitment Video,2010
25572,Will Ferrell,Corbit,Winter Passing,2005
25939,Brad Pitt,Achilles,Troy,2004
26503,Paul Rudd,Rene,Almost Christmas,2013
26800,Seth Rogen,Admiral Seasholtz,Fanboys,2009
26808,Seth Rogen,Roach,Fanboys,2009
26809,Seth Rogen,Alien,Fanboys,2009
26984,Ben Stiller,Lonnie,School for Scoundrels,2006
27569,Matthew McConaughey,Finn Finnegan,Fool's Gold,2008
28449,Will Ferrell,George W. Bush,"Will Ferrell: You're Welcome, America: A Final Night with George W. Bush",2009
29402,Jason Segel,Gary,The Muppets,2011
29985,David Koechner,Dan,Still Waiting...,2009
30329,Jonah Hill,Schmidt,21 Jump Street,2012
30524,Vince Vaughn,,A Case of You,2013
30985,Paul Rudd,The Editor,Wanderlust,2006
31017,Leonardo DiCaprio,Howard Hughes,The Aviator,2004
31057,Megan Fox,Lily Luster,Passion Play,2010
31165,Owen Wilson,Lightning McQueen,Cars 2,2011
31191,Shia LaBeouf,Sam Witwicky,Transformers: Dark of the Moon,2011
31320,Shia LaBeouf,Charlie Countryman,The Necessary Death of Charlie Countryman,2013
31835,Paul Rudd,George Gergenblatt,Wanderlust,2012
32091,Owen Wilson,Drillbit Taylor,Drillbit Taylor,2008
32093,Leslie Mann,Lisa Zachey,Drillbit Taylor,2008
32099,David Koechner,Frightened Dad,Drillbit Taylor,2008
32216,Ben Stiller,Stiller the Elf,Elmo's Christmas Countdown,2007
32793,Chris O'Dowd,,The Losers,2010
33383,Paul Rudd,Adam,I Could Never Be Your Woman,2007
33904,Ben Stiller,Jon Dribble,The Marc Pease Experience,2009
34178,Seth Rogen,Kyle,50/50,2011
34205,Brad Pitt,Rusty Ryan,Ocean's Twelve,2004
34209,Owen Wilson,Jack Ryan,The Big Bounce,2004
34229,Leonardo DiCaprio,Billy Costigan,The Departed,2006
34264,Will Ferrell,Chazz Michael Michaels,Blades of Glory,2007
34747,Will Ferrell,Nick Halsey,Everything Must Go,2010
36789,Matthew McConaughey,Mud,Mud,2012
