time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-11-19T14:44:06.350Z,38.8253326,-122.8453369,2.2,0.19,md,5,168,0.00835,0.01,nc,nc72349856,2014-11-19T14:59:02.307Z,"9km NW of The Geysers, California",earthquake
2014-11-19T14:17:29.550Z,36.9962,-97.9149,8.33,3.2,mb_lg,,76,0.055,0.64,us,usc000syvv,2014-11-19T15:06:10.273Z,"20km SSE of Anthony, Kansas",earthquake
2014-11-19T14:14:42.920Z,33.2973333,-116.7263333,17.1,0.77,ml,28,49,0.06695,0.25,ci,ci37062463,2014-11-19T14:19:31.400Z,"20km SE of Aguanga, California",earthquake
2014-11-19T13:59:20.010Z,34.1223333,-116.7365,19.79,0.72,ml,10,115,0.1052,0.39,ci,ci37062455,2014-11-19T14:04:20.040Z,"16km WNW of Morongo Valley, California",earthquake
2014-11-19T13:52:51.100Z,47.6747,-120.3383,0.6,2.5,Md,,57.6,0.1527136,0.13,uw,uw60920262,2014-11-19T14:44:06.848Z,"9km W of Entiat, Washington",earthquake
2014-11-19T13:45:12.810Z,37.5603333,-118.8498306,10.07,1.82,md,28,114,0.03391,0.03,nc,nc72349821,2014-11-19T13:50:02.856Z,"15km SE of Mammoth Lakes, California",earthquake
2014-11-19T13:11:09.300Z,38.8096657,-122.7925034,3.7,0.84,md,21,37,0.009906,0.02,nc,nc72349811,2014-11-19T13:50:02.652Z,"4km NW of The Geysers, California",earthquake
2014-11-19T13:09:42.000Z,61.7429,-149.4863,36.7,1.9,ml,,,,0.35,ak,ak11445661,2014-11-19T14:08:49.614Z,"13km NNW of Tanaina, Alaska",earthquake
2014-11-19T13:01:27.160Z,38.8134995,-122.81633,3.16,0.88,md,14,88,0.01102,0.02,nc,nc72349801,2014-11-19T14:59:02.143Z,"6km NW of The Geysers, California",earthquake
2014-11-19T12:54:45.730Z,38.8083344,-122.814003,2.31,1.01,md,18,117,0.01187,0.02,nc,nc72349796,2014-11-19T15:06:05.028Z,"6km NW of The Geysers, California",earthquake
2014-11-19T12:43:23.190Z,35.4281667,-118.4881667,5.03,1.73,ml,37,40,0.1472,0.24,ci,ci37062447,2014-11-19T12:54:08.270Z,"17km S of Bodfish, California",earthquake
2014-11-19T12:40:40.000Z,62.0335,-150.5342,17.9,1.9,ml,,,,0.56,ak,ak11445627,2014-11-19T14:08:46.721Z,"38km WSW of Y, Alaska",earthquake
2014-11-19T12:37:03.000Z,64.3502,-151.2358,6.9,1.6,ml,,,,0.34,ak,ak11445626,2014-11-19T14:08:46.164Z,"78km SSW of Manley Hot Springs, Alaska",earthquake
2014-11-19T12:19:42.840Z,34.3193333,-116.4458333,10.19,1.24,ml,25,72,0.05929,0.23,ci,ci37062439,2014-11-19T12:30:52.120Z,"22km N of Yucca Valley, California",earthquake
2014-11-19T12:19:02.100Z,36.8446,-97.8991,5,3.1,ml,,88,,0.31,us,usc000syvm,2014-11-19T14:10:14.000Z,"15km WNW of Medford, Oklahoma",earthquake
2014-11-19T12:16:58.290Z,38.7941666,-122.7926636,17.52,0.16,md,6,194,0.003837,0.02,nc,nc72349776,2014-11-19T13:40:05.719Z,"3km WNW of The Geysers, California",earthquake
2014-11-19T11:57:10.390Z,38.8071671,-122.7845001,0.52,0.91,md,11,90,0.006774,0.04,nc,nc72349771,2014-11-19T13:11:03.808Z,"4km NW of The Geysers, California",earthquake
2014-11-19T11:50:26.610Z,14.9265,-93.2944,35,4.5,mb,,139,1.598,1.43,us,usc000syur,2014-11-19T12:22:54.000Z,"70km SW of Mapastepec, Mexico",earthquake
2014-11-19T11:48:05.000Z,59.3125,-153.1838,96.1,3.3,ml,,,,0.66,ak,ak11445575,2014-11-19T12:45:20.343Z,"92km WSW of Anchor Point, Alaska",earthquake
2014-11-19T11:47:05.880Z,38.824501,-122.8458328,2.23,0.7,md,6,177,0.008551,0.01,nc,nc72349766,2014-11-19T12:42:08.414Z,"9km NW of The Geysers, California",earthquake
2014-11-19T11:39:48.420Z,14.794,-93.375,35,5,mb,,134,1.648,1.14,us,usc000syun,2014-11-19T12:10:34.723Z,"87km SW of Mapastepec, Mexico",earthquake
2014-11-19T11:30:18.700Z,32.9345,-116.2638333,6.02,0.97,ml,17,132,0.02104,0.21,ci,ci37062431,2014-11-19T11:34:27.820Z,"27km ENE of Pine Valley, California",earthquake
2014-11-19T11:14:10.110Z,33.1803333,-115.6175,1.1,1.61,ml,32,82,0.003254,0.3,ci,ci37062423,2014-11-19T11:25:23.480Z,"11km WNW of Calipatria, California",earthquake
2014-11-19T11:09:20.280Z,36.4038,-97.3283,5.37,2.8,mb_lg,,54,0.37,0.38,us,usc000syuc,2014-11-19T12:11:49.110Z,"13km NNW of Perry, Oklahoma",earthquake
2014-11-19T10:54:23.000Z,60.245,-140.9556,2.2,1.6,ml,,,,0.42,ak,ak11445532,2014-11-19T12:44:43.685Z,"84km ENE of Cape Yakataga, Alaska",earthquake
2014-11-19T10:50:36.607Z,36.8913,-117.2788,8,1.52,ml,18,273.75,0.215,,nn,nn00468522,2014-11-19T10:52:50.003Z,"46km W of Beatty, Nevada",earthquake
2014-11-19T10:46:54.000Z,63.2904,-150.3716,131,1.7,ml,,,,0.48,ak,ak11445530,2014-11-19T12:44:42.938Z,"72km W of Cantwell, Alaska",earthquake
2014-11-19T10:34:41.810Z,35.9579,-97.4352,5,2.5,mb_lg,,66,0.161,0.41,us,usc000syu8,2014-11-19T10:53:19.000Z,"8km N of Guthrie, Oklahoma",earthquake
2014-11-19T10:33:40.930Z,36.5559998,-121.0618362,9.27,1.3,md,8,176,0.09333,0.06,nc,nc72349761,2014-11-19T12:12:04.830Z,"27km ENE of Soledad, California",earthquake
2014-11-19T10:07:37.100Z,35.36,-92.5905,4.9,1.9,md,10,122.399990208001,0.1077978,0.49,nm,nm60020608,2014-11-19T12:27:47.465Z,"23km NW of Greenbrier, Arkansas",earthquake
2014-11-19T09:51:22.340Z,35.5265,-118.2315,9.4,1.21,ml,27,58,0.07503,0.23,ci,ci37062415,2014-11-19T09:55:24.370Z,"16km SSE of Weldon, California",earthquake
2014-11-19T09:39:42.000Z,63.2454,-151.5694,0,2.1,ml,,,,0.59,ak,ak11445515,2014-11-19T11:28:54.617Z,"126km NW of Talkeetna, Alaska",earthquake
2014-11-19T09:18:36.630Z,33.5138333,-116.4675,11.31,0.1,ml,14,97,0.06863,0.12,ci,ci37062399,2014-11-19T09:23:02.660Z,"19km ESE of Anza, California",earthquake
2014-11-19T09:10:29.660Z,38.7578316,-122.713501,1.9,0.78,md,8,93,0.01518,0.03,nc,nc72349746,2014-11-19T09:35:02.260Z,"4km ESE of The Geysers, California",earthquake
